date,machine_id,shift,product_type,units_produced,defective_units,downtime_minutes,production_time_minutes,operator_id,factory_location
2026-01-01,MCH001,Morning,Gear,520,12,30,480,OP101,Pune
2026-01-01,MCH002,Evening,Shaft,460,8,45,450,OP102,Mumbai
2026-01-01,MCH003,Night,Bolt,610,15,20,500,OP103,Nashik
2026-01-02,MCH001,Morning,Gear,540,10,25,480,OP101,Pune
2026-01-02,MCH002,Evening,Shaft,480,9,40,450,OP102,Mumbai
2026-01-02,MCH003,Night,Bolt,630,18,15,500,OP103,Nashik
2026-01-03,MCH001,Morning,Gear,500,14,35,480,OP104,Pune
2026-01-03,MCH002,Evening,Shaft,470,11,50,450,OP102,Mumbai
2026-01-03,MCH003,Night,Bolt,620,13,25,500,OP103,Nashik
2026-01-04,MCH001,Morning,Gear,560,9,20,480,OP101,Pune
2026-01-04,MCH002,Evening,Shaft,490,7,30,450,OP105,Mumbai
2026-01-04,MCH003,Night,Bolt,640,16,10,500,OP103,Nashik
2026-01-05,MCH001,Morning,Gear,530,12,28,480,OP104,Pune
2026-01-05,MCH002,Evening,Shaft,450,10,60,450,OP102,Mumbai
2026-01-05,MCH003,Night,Bolt,600,20,35,500,OP103,Nashik
